,0
0,8
1,4
2,5
3,4
4,4
5,3
6,4
7,4
8,4
9,5
10,4
11,3
12,4
13,3
14,4
15,3
16,3
17,4
18,5
19,4
20,4
21,5
22,5
23,4
24,3
25,5
26,3
27,3
28,4
29,3
30,3
31,3
32,5
33,3
34,2
35,4
36,4
37,4
38,5
39,5
40,4
41,4
42,5
43,4
44,4
45,4
46,4
47,4
48,3
49,4
50,3
51,3
52,3
53,4
54,3
55,4
56,3
57,3
58,5
59,5
60,5
61,5
62,5
63,3
64,5
65,4
66,3
67,4
68,3
69,3
70,4
71,4
72,5
73,4
74,4
75,4
76,5
77,5
78,3
79,5
80,5
81,3
82,6
83,5
84,4
85,4
86,3
87,2
88,4
89,4
90,3
91,3
92,4
93,3
94,3
95,4
96,4
97,5
98,4
99,3
100,6
101,5
102,4
103,3
104,4
105,6
106,3
107,3
108,5
109,3
110,5
111,4
112,5
113,4
114,4
115,4
116,5
117,4
118,5
119,5
120,5
121,5
122,5
123,4
124,4
125,4
126,4
127,6
128,5
129,4
130,4
131,4
132,3
133,5
134,6
135,3
136,7
137,3
138,3
139,3
140,2
141,3
142,4
143,5
144,3
145,4
146,5
147,4
148,4
149,6
150,3
151,5
152,4
153,5
154,3
155,3
156,4
157,4
158,4
159,4
160,5
161,4
162,3
163,5
164,3
165,4
166,5
167,3
168,4
169,5
170,5
171,4
172,6
173,4
174,4
175,5
176,5
177,6
178,5
179,4
180,3
181,3
182,4
183,5
184,5
185,4
186,4
187,6
188,4
189,4
190,4
191,4
192,5
193,4
194,5
195,4
196,6
197,6
198,7
199,4
200,4
201,6
202,6
203,5
204,5
205,5
206,6
207,4
208,5
209,6
210,4
211,4
212,3
213,4
214,4
215,4
216,4
217,4
218,5
219,5
220,2
221,4
222,4
223,3
224,4
225,4
226,3
227,4
228,3
229,3
230,2
231,4
232,4
233,4
234,5
235,4
236,5
237,4
238,4
239,5
240,6
241,8
242,3
243,4
244,7
245,5
246,7
247,5
248,4
249,6
250,4
251,2
252,4
253,2
254,3
255,5
256,3
257,4
258,5
259,2
260,4
261,4
262,3
263,6
264,4
265,5
266,3
267,5
268,4
269,3
270,4
271,4
272,3
273,4
274,4
275,5
276,4
277,5
278,5
279,4
280,6
281,5
282,4
283,4
284,5
285,3
286,5
287,3
288,4
289,5
290,3
291,3
292,4
293,4
294,4
295,4
296,6
297,5
298,5
299,4
300,4
301,4
302,5
303,4
304,3
305,5
306,4
307,5
308,5
309,5
310,7
311,4
312,3
313,6
314,5
315,4
316,3
317,4
318,7
319,3
320,6
321,4
322,4
323,4
324,5
325,4
326,6
327,4
328,3
329,4
330,4
331,4
332,5
333,5
334,4
335,4
336,6
337,5
338,4
339,6
340,5
341,6
342,4
343,4
344,5
345,5
346,4
347,5
348,5
349,4
350,6
351,3
352,5
353,4
354,6
355,3
356,4
357,5
358,4
359,5
360,4
361,5
362,5
363,5
364,6
365,4
366,3
367,3
368,5
369,4
370,3
371,5
372,4
373,6
374,5
375,4
376,5
377,4
378,3
379,3
380,5
381,4
382,5
383,4
384,7
385,5
386,5
387,5
388,5
389,5
390,4
391,4
392,2
393,2
394,5
395,3
396,4
397,4
398,5
399,4
400,7
401,4
402,4
403,4
404,5
405,6
406,5
407,6
408,4
409,6
410,3
411,3
412,3
413,6
414,3
415,4
416,4
417,3
418,7
419,4
420,4
421,4
422,5
423,3
424,4
425,4
426,5
427,6
428,4
429,8
430,4
431,4
432,3
433,3
434,4
435,4
436,2
437,4
438,5
439,4
440,3
441,4
442,5
443,4
444,5
445,2
446,5
447,5
448,4
449,3
450,5
451,4
452,5
453,4
454,6
455,5
456,5
457,4
458,4
459,6
460,5
461,8
462,4
463,4
464,7
465,3
466,4
467,4
468,5
469,4
470,5
471,5
472,5
473,7
474,5
475,6
476,6
477,6
478,3
479,4
480,5
481,7
482,5
483,5
484,5
485,4
486,5
487,8
488,4
489,3
490,3
491,2
492,4
493,5
494,3
495,3
496,4
497,5
498,3
499,4
500,5
501,3
502,2
503,4
504,5
505,4
506,3
507,4
508,3
509,5
510,4
511,4
512,4
513,5
514,5
515,3
516,2
517,4
518,4
519,5
520,3
521,5
522,5
523,4
524,4
525,5
526,5
527,3
528,3
529,3
530,5
531,4
532,5
533,4
534,3
535,2
536,4
537,3
538,5
539,4
540,2
541,4
542,6
543,5
544,3
545,4
546,5
547,5
548,3
549,5
550,6
551,5
552,5
553,3
554,4
555,2
556,4
557,4
558,5
559,3
560,4
561,4
562,4
563,4
564,2
565,3
566,3
567,3
568,3
569,4
570,6
571,3
572,6
573,5
574,6
575,3
576,4
577,4
578,6
579,5
580,3
581,4
582,5
583,2
584,4
585,4
586,3
587,5
588,4
589,5
590,3
591,3
592,6
593,5
594,5
595,3
596,4
597,3
598,5
599,6
600,3
601,4
602,3
603,2
604,3
605,4
606,4
607,4
608,4
609,3
610,3
611,3
612,4
613,5
614,4
615,4
616,4
617,3
618,4
619,4
620,4
621,5
622,4
623,4
624,3
625,4
626,4
627,4
628,3
629,3
630,5
631,4
632,5
633,5
634,5
635,5
636,5
637,5
638,5
639,4
640,4
641,5
642,6
643,5
644,6
645,8
646,4
647,3
648,3
649,2
650,3
651,3
652,4
653,4
654,3
655,2
656,4
657,4
658,4
659,5
660,3
661,4
