,0
0,3
1,2
2,6
3,4
4,6
5,5
6,5
7,4
8,5
9,3
10,5
11,3
12,7
13,4
14,3
15,5
16,6
17,5
18,9
19,6
20,4
21,8
22,4
23,4
24,4
25,5
26,6
27,4
28,3
29,4
30,4
31,5
32,6
33,6
34,4
35,4
36,4
37,4
38,4
39,9
40,4
41,5
42,5
43,5
44,8
45,4
46,4
47,4
48,5
49,5
50,4
51,4
52,5
53,5
54,6
55,4
56,4
57,4
58,4
59,4
60,5
61,3
62,4
63,5
64,6
65,9
66,4
67,4
68,3
69,5
70,4
71,5
72,7
73,4
74,3
75,5
76,5
77,5
78,5
79,3
80,4
81,4
82,4
83,4
84,4
85,4
86,3
87,4
88,4
89,5
90,4
91,6
92,5
93,9
94,6
95,3
96,4
97,3
98,3
99,3
100,6
101,7
102,4
103,4
104,4
105,4
106,3
107,3
108,4
109,4
110,4
111,5
112,3
113,8
114,7
115,5
116,5
117,5
118,5
119,3
120,4
121,5
122,4
123,5
124,3
125,4
126,5
127,6
128,6
129,6
130,4
131,6
132,3
133,5
134,4
135,3
136,2
137,6
138,3
139,5
140,5
141,5
142,6
143,7
144,6
145,7
146,4
147,3
148,6
149,4
150,6
151,5
152,4
153,6
154,5
155,5
156,6
157,2
158,6
159,5
160,7
161,4
162,5
163,5
164,3
165,6
166,4
167,7
168,6
169,7
170,7
171,4
172,5
173,5
174,6
175,4
176,5
177,4
178,4
179,6
180,4
181,4
182,6
183,4
184,7
185,6
186,3
187,5
188,6
189,5
190,5
191,4
192,4
193,6
194,4
195,5
196,4
197,5
198,4
199,6
200,4
201,4
202,4
203,5
204,5
205,5
206,2
207,8
208,3
209,6
210,6
211,4
212,6
213,6
214,3
215,7
216,4
217,5
218,4
219,4
220,4
221,4
222,4
223,5
224,5
225,9
226,6
227,5
228,5
229,4
230,4
231,4
232,6
233,7
234,5
235,3
236,6
237,5
238,4
239,3
240,3
241,4
242,5
243,6
244,3
245,4
246,3
247,3
248,6
249,4
250,4
251,5
252,7
253,6
254,2
255,4
256,7
257,5
258,5
259,3
260,3
261,3
262,4
263,7
264,5
265,6
266,5
267,5
268,3
269,4
270,4
271,4
272,4
273,8
274,5
275,4
276,4
277,4
278,3
279,4
280,4
281,4
282,4
283,5
284,4
285,6
286,7
287,5
288,3
289,4
290,3
291,3
292,5
293,4
294,6
295,5
296,2
297,6
298,4
299,4
300,4
301,5
302,6
303,4
304,4
305,4
306,2
307,7
308,5
309,4
310,5
311,4
312,3
313,3
314,6
315,3
316,7
317,5
318,4
319,4
320,4
321,5
322,5
323,4
324,10
325,6
326,3
327,5
328,4
329,3
330,4
331,6
332,3
333,3
334,5
335,6
336,5
337,5
338,3
339,4
340,4
341,4
342,3
343,4
344,4
345,5
346,4
347,7
348,7
349,5
350,6
351,5
352,4
353,5
354,6
355,6
356,5
357,4
358,3
359,4
360,5
361,6
362,3
363,5
364,4
365,4
366,4
367,5
368,4
369,4
370,4
371,4
372,4
373,5
374,4
375,7
376,4
377,5
378,5
379,7
380,4
381,3
382,3
383,4
