,0
0,4
1,5
2,5
3,5
4,5
5,5
6,4
7,4
8,5
9,3
10,5
11,4
12,6
13,4
14,4
15,5
16,4
17,5
18,6
19,5
20,4
21,3
22,4
23,3
24,4
25,6
26,3
27,4
28,3
29,4
30,4
31,4
32,5
33,4
34,5
35,3
36,4
37,4
38,3
39,5
40,4
41,3
42,5
43,5
44,7
45,3
46,3
47,3
48,3
49,5
50,4
51,4
52,2
53,4
54,5
55,4
56,4
57,4
58,5
59,4
60,4
61,3
62,4
63,5
64,5
65,9
66,4
67,4
68,3
69,4
70,5
71,3
72,4
73,4
74,4
75,5
76,6
77,5
78,4
79,4
80,4
81,5
82,3
83,3
84,4
85,4
86,3
87,4
88,3
89,5
90,4
91,4
92,4
93,8
94,4
95,4
96,4
97,3
98,5
99,4
100,3
101,6
102,4
103,4
104,4
105,4
106,3
107,5
108,4
109,3
110,5
111,4
112,4
113,8
114,5
115,3
116,4
117,5
118,5
119,4
120,3
121,4
122,4
123,5
124,3
125,4
126,5
127,4
128,3
129,4
130,3
131,6
132,3
133,3
134,4
135,3
136,3
137,4
138,4
139,5
140,5
141,5
142,6
143,5
144,6
145,4
146,5
147,3
148,4
149,3
150,6
151,3
152,7
153,3
154,3
155,3
156,4
157,2
158,3
159,5
160,6
161,4
162,4
163,4
164,3
165,6
166,4
167,6
168,3
169,7
170,6
171,3
172,4
173,3
174,4
175,3
176,4
177,2
178,4
179,5
180,3
181,4
182,5
183,4
184,4
185,5
186,3
187,4
188,5
189,4
190,4
191,4
192,4
193,4
194,3
195,4
196,5
197,4
198,4
199,4
200,3
201,4
202,4
203,4
204,3
205,6
206,4
207,5
208,4
209,5
210,5
211,3
212,5
213,5
214,3
215,5
216,8
217,5
218,3
219,3
220,3
221,4
222,4
223,4
224,7
225,6
226,4
227,4
228,5
229,4
230,5
231,3
232,6
233,4
234,5
235,4
236,6
237,4
238,5
239,3
240,5
241,4
242,5
243,4
244,4
245,4
246,4
247,3
248,3
249,4
250,4
251,4
252,3
253,5
254,3
255,5
256,5
257,3
258,5
259,4
260,3
261,4
262,3
263,6
264,4
265,5
266,4
267,4
268,5
269,4
270,5
271,4
272,3
273,7
274,4
275,4
276,4
277,4
278,3
279,3
280,4
281,3
282,4
283,4
284,4
285,4
286,3
287,4
288,3
289,4
290,3
291,3
292,3
293,4
294,5
295,5
296,5
297,5
298,5
299,4
300,4
301,4
302,5
303,4
304,5
305,2
306,3
307,4
308,5
309,4
310,4
311,3
312,5
313,5
314,6
315,3
316,6
317,5
318,4
319,4
320,4
321,3
322,3
323,4
324,9
325,5
326,3
327,5
328,4
329,4
330,5
331,3
332,4
333,3
334,6
335,5
336,4
337,7
338,3
339,4
340,4
341,3
342,5
343,3
344,4
345,3
346,3
347,6
348,5
349,5
350,5
351,5
352,4
353,4
354,4
355,4
356,4
357,3
358,3
359,3
360,6
361,5
362,3
363,3
364,4
365,4
366,3
367,4
368,5
369,4
370,5
371,3
372,3
373,3
374,3
375,6
376,4
377,3
378,4
379,7
380,4
381,3
382,4
383,3
