,0
0,abode
1,above
2,adobe
3,adoze
4,agoge
5,agone
6,alone
7,alowe
8,amole
9,amove
10,anode
11,anole
12,apode
13,atoke
14,atone
15,aweto
16,awoke
17,axone
18,azole
19,azote
20,beano
21,bebop
22,befog
23,begot
24,belon
25,below
26,bento
27,beton
28,biome
29,bloke
30,canoe
31,cello
32,celom
33,cento
34,chemo
35,chode
36,choke
37,cloke
38,clone
39,clote
40,clove
41,cloye
42,cloze
43,decko
44,decoy
45,deffo
46,defog
47,dekko
48,demob
49,demoi
50,demon
51,deoxy
52,depot
53,detox
54,devon
55,devot
56,dhole
57,diode
58,ebony
59,ebook
60,eikon
61,ejido
62,elbow
63,eloge
64,elogy
65,eloin
66,elope
67,embog
68,embow
69,embox
70,emoji
71,emong
72,emote
73,emove
74,endow
75,enjoy
76,ennog
77,enoki
78,envoi
79,envoy
80,ephod
81,epoch
82,epode
83,epopt
84,epoxy
85,evhoe
86,evohe
87,evoke
88,ewhow
89,exode
90,exome
91,extol
92,felon
93,feoff
94,flexo
95,flote
96,gecko
97,gemot
98,genoa
99,genom
100,geode
101,geoid
102,globe
103,glode
104,glove
105,gloze
106,gnome
107,haole
108,helio
109,hello
110,helot
111,jello
112,jeton
113,kebob
114,keeno
115,kembo
116,kendo
117,ketol
118,knowe
119,kyloe
120,laevo
121,leggo
122,lemon
123,lento
124,leone
125,leuco
126,mahoe
127,melon
128,mento
129,metho
130,metol
131,mezzo
132,myope
133,netop
134,obeah
135,obeli
136,obole
137,ocean
138,odeon
139,odeum
140,odyle
141,offie
142,ogive
143,ohone
144,ojime
145,oldie
146,oleic
147,olein
148,olent
149,oleum
150,olive
151,ollie
152,olpae
153,omega
154,onely
155,opepe
156,opine
157,ounce
158,ouphe
159,ovate
160,ovine
161,ovule
162,owche
163,oxeye
164,oxide
165,oxime
166,ozeki
167,ozone
168,ozzie
169,paedo
170,paeon
171,peeoy
172,pekoe
173,pelon
174,pengo
175,peony
176,petto
177,pheon
178,phone
179,piezo
180,pioye
181,pleon
182,ploye
183,quote
184,telco
185,teloi
186,tempo
187,tenno
188,tenon
189,tepoy
190,theow
191,thole
192,venom
193,whole
194,xenon
195,zendo
196,zlote
