,0
0,7
1,5
2,5
3,5
4,5
5,4
6,5
7,4
8,5
9,6
10,4
11,4
12,5
13,6
14,5
15,5
16,4
17,3
18,5
19,4
20,4
21,5
22,5
23,4
24,3
25,4
26,4
27,5
28,4
29,5
30,3
31,3
32,5
33,3
34,4
35,4
36,4
37,3
38,5
39,4
40,4
41,4
42,5
43,3
44,4
45,3
46,4
47,4
48,3
49,4
50,5
51,3
52,4
53,3
54,4
55,4
56,4
57,3
58,5
59,5
60,4
61,5
62,5
63,3
64,5
65,4
66,4
67,5
68,4
69,3
70,4
71,4
72,4
73,5
74,4
75,5
76,5
77,5
78,6
79,5
80,5
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,6
89,3
90,5
91,5
92,3
93,4
94,5
95,5
96,6
97,4
98,6
99,6
100,6
101,5
102,4
103,4
104,5
105,6
106,3
107,4
108,5
109,4
110,4
111,4
112,4
113,4
114,5
115,6
116,7
117,4
118,5
119,4
120,4
121,3
122,5
123,4
124,4
125,4
126,4
127,5
128,4
129,5
130,4
131,5
132,4
133,5
134,6
135,5
136,7
137,4
138,3
139,4
140,3
141,3
142,5
143,5
144,4
145,4
146,6
147,4
148,4
149,3
150,5
151,4
152,7
153,4
154,4
155,5
156,4
157,5
158,7
159,5
160,3
161,6
162,5
163,6
164,5
165,3
166,6
167,5
168,4
169,5
170,4
171,6
172,5
173,4
174,4
175,6
176,5
177,4
178,4
179,5
180,3
181,4
182,5
183,3
184,4
185,5
186,6
187,5
188,3
189,4
190,4
191,5
192,5
193,3
194,4
195,5
196,5
197,6
198,7
199,5
200,5
201,4
202,5
203,4
204,5
205,5
206,4
207,6
208,4
209,5
210,6
211,5
212,5
213,5
214,4
215,5
216,5
217,4
218,4
219,6
220,4
221,8
222,4
223,4
224,5
225,3
226,5
227,4
228,5
229,5
230,6
231,3
232,7
233,3
234,5
235,4
236,4
237,4
238,5
239,4
240,4
241,8
242,4
243,6
244,7
245,5
246,6
247,3
248,5
249,3
250,4
251,4
252,5
253,3
254,5
255,3
256,4
257,4
258,5
259,4
260,6
261,4
262,5
263,5
264,5
265,3
266,3
267,6
268,4
269,4
270,4
271,6
272,4
273,4
274,5
275,4
276,5
277,6
278,5
279,5
280,5
281,5
282,6
283,5
284,4
285,5
286,6
287,5
288,5
289,4
290,4
291,3
292,5
293,5
294,4
295,4
296,4
297,4
298,3
299,3
300,4
301,5
302,6
303,5
304,5
305,3
306,5
307,6
308,3
309,4
310,7
311,6
312,4
313,6
314,5
315,3
316,3
317,2
318,4
319,4
320,4
321,2
322,3
323,4
324,2
325,5
326,3
327,4
328,5
329,4
330,3
331,5
332,6
333,5
334,3
335,6
336,3
337,5
338,6
339,6
340,7
341,5
342,5
343,4
344,6
345,5
346,4
347,4
348,7
349,4
350,7
351,3
352,7
353,5
354,5
355,5
356,4
357,5
358,5
359,5
360,6
361,5
362,5
363,6
364,4
365,4
366,4
367,3
368,6
369,4
370,5
371,5
372,4
373,3
374,6
375,5
376,5
377,4
378,3
379,5
380,5
381,4
382,6
383,5
384,3
385,5
386,3
387,4
388,3
389,5
390,5
391,6
392,3
393,4
394,4
395,4
396,3
397,4
398,5
399,4
400,6
401,4
402,4
403,4
404,6
405,4
406,5
407,4
408,5
409,4
410,4
411,4
412,5
413,5
414,5
415,5
416,5
417,5
418,7
419,6
420,5
421,4
422,4
423,4
424,4
425,4
426,4
427,5
428,3
429,3
430,5
431,4
432,4
433,5
434,3
435,4
436,3
437,5
438,4
439,5
440,5
441,3
442,6
443,5
444,4
445,5
446,5
447,7
448,5
449,4
450,3
451,4
452,5
453,3
454,7
455,4
456,3
457,5
458,4
459,5
460,3
461,5
462,4
463,5
464,6
465,4
466,4
467,5
468,4
469,6
470,4
471,3
472,3
473,7
474,4
475,5
476,5
477,4
478,3
479,4
480,5
481,6
482,5
483,4
484,5
485,4
486,5
487,7
488,5
489,4
490,3
491,3
492,5
493,5
494,3
495,3
496,4
497,5
498,3
499,6
500,4
501,3
502,3
503,4
504,5
505,4
506,4
507,4
508,4
509,5
510,5
511,5
512,5
513,6
514,2
515,6
516,4
517,6
518,4
519,3
520,3
521,5
522,4
523,3
524,4
525,5
526,6
527,4
528,3
529,4
530,4
531,5
532,3
533,4
534,3
535,4
536,5
537,3
538,6
539,4
540,3
541,4
542,7
543,6
544,4
545,5
546,5
547,5
548,6
549,4
550,7
551,5
552,5
553,6
554,4
555,5
556,4
557,4
558,5
559,3
560,3
561,5
562,3
563,3
564,5
565,3
566,4
567,4
568,4
569,4
570,6
571,6
572,6
573,5
574,6
575,4
576,3
577,4
578,5
579,4
580,3
581,3
582,5
583,5
584,4
585,4
586,3
587,4
588,4
589,6
590,4
591,4
592,4
593,5
594,5
595,3
596,4
597,4
598,3
599,6
600,5
601,6
602,5
603,5
604,3
605,4
606,4
607,3
608,5
609,4
610,4
611,4
612,6
613,5
614,5
615,5
616,6
617,6
618,4
619,4
620,4
621,3
622,3
623,5
624,4
625,4
626,3
627,5
628,5
629,8
630,4
631,6
632,7
633,4
634,4
635,6
636,6
637,4
638,5
639,4
640,6
641,4
642,5
643,3
644,6
645,4
646,3
647,3
648,4
649,3
650,4
651,5
652,5
653,4
654,4
655,6
656,5
657,7
658,6
659,5
660,4
661,5
662,4
663,5
664,6
665,8
666,6
667,5
668,6
669,5
670,6
671,6
672,3
673,4
674,5
675,6
676,5
677,5
678,7
679,4
680,6
681,5
682,6
683,4
684,6
685,6
686,6
687,5
688,3
689,5
690,8
691,8
692,4
693,5
694,5
695,3
696,6
697,6
698,4
699,5
700,7
701,9
702,4
703,7
704,6
705,5
706,4
707,7
708,4
709,4
710,5
711,5
712,6
713,3
714,5
715,7
716,5
717,6
718,5
719,5
720,4
721,5
722,5
723,6
724,6
725,4
726,4
727,6
728,5
729,4
730,6
731,4
732,5
733,7
734,5
735,5
736,6
737,9
738,4
739,5
740,4
741,11
742,5
743,5
744,4
745,4
746,5
747,3
748,6
749,4
750,5
751,4
752,4
753,6
754,5
755,5
756,6
757,6
758,7
759,3
760,5
761,5
762,6
763,5
764,4
765,5
766,5
767,5
768,5
769,4
770,5
771,5
772,5
773,4
774,4
775,5
776,5
777,6
778,10
779,5
780,6
781,7
782,6
783,4
784,5
785,4
786,3
787,4
788,3
789,3
790,5
791,6
792,3
793,7
794,6
795,4
796,4
797,4
798,5
799,8
800,4
801,5
802,5
803,4
804,3
805,6
806,4
807,4
808,5
809,6
810,3
811,5
812,4
813,4
814,6
815,7
816,2
817,5
818,4
819,4
820,7
821,3
822,5
823,4
824,4
825,4
826,3
827,4
828,3
829,3
830,4
831,3
832,5
833,6
834,5
835,5
836,3
837,5
838,7
839,3
840,8
841,6
842,3
843,9
844,4
845,2
846,4
847,3
848,6
849,4
850,5
851,3
852,3
853,3
854,6
855,5
856,4
857,5
858,6
859,7
860,7
861,5
862,3
863,4
864,3
865,6
866,3
867,3
868,6
869,4
870,7
871,6
872,4
873,5
874,4
875,4
876,3
877,5
878,4
879,6
880,7
881,5
882,5
883,5
884,6
885,5
886,3
887,4
888,8
889,5
890,7
891,6
892,3
893,4
894,4
895,11
896,7
897,12
898,5
899,4
900,8
901,4
902,5
903,4
904,5
905,4
906,5
907,5
908,4
909,6
910,6
911,3
912,4
913,3
914,5
915,4
916,3
917,5
918,4
919,5
920,4
921,7
922,5
923,5
924,5
925,4
926,4
927,5
928,6
929,5
930,4
931,4
932,5
933,4
934,3
935,4
936,5
937,5
938,4
939,5
940,6
941,3
942,5
943,5
944,7
945,5
946,5
947,5
948,5
949,6
950,5
951,4
952,5
953,5
954,5
955,4
956,4
957,6
958,5
959,4
960,6
961,3
962,4
963,4
964,4
965,6
966,6
967,6
968,4
969,5
970,4
971,5
972,8
973,5
974,6
975,6
976,4
977,4
978,5
979,4
980,5
981,4
982,6
983,3
984,5
985,4
986,3
987,6
988,4
989,6
990,3
991,4
992,4
993,5
994,2
995,6
996,3
997,4
998,3
999,3
1000,3
1001,4
1002,4
1003,5
1004,4
1005,5
1006,5
1007,4
1008,3
1009,4
1010,4
1011,4
1012,5
1013,5
1014,5
1015,4
1016,4
1017,4
1018,4
1019,4
1020,3
1021,4
1022,5
1023,4
1024,4
1025,5
1026,7
1027,6
1028,6
1029,6
1030,4
1031,6
1032,4
1033,6
1034,5
1035,3
1036,6
1037,4
1038,5
1039,4
1040,5
1041,5
1042,3
1043,4
1044,4
1045,5
1046,4
1047,4
1048,5
1049,5
1050,6
1051,4
1052,6
1053,3
1054,5
1055,5
1056,5
1057,4
1058,5
1059,6
1060,6
1061,5
1062,5
1063,7
1064,7
1065,5
1066,5
1067,4
1068,6
1069,4
1070,5
1071,4
1072,5
1073,7
1074,6
1075,5
1076,4
1077,4
1078,7
1079,5
1080,5
1081,3
1082,4
1083,4
1084,4
1085,4
1086,5
1087,4
1088,4
1089,3
1090,6
1091,6
1092,5
1093,6
1094,4
1095,4
1096,4
1097,5
1098,3
1099,5
1100,4
1101,4
1102,5
1103,4
1104,4
1105,4
1106,3
1107,4
1108,4
1109,4
1110,5
1111,5
1112,4
1113,3
1114,3
