,0
0,3
1,4
2,7
3,3
4,5
5,5
6,3
7,4
8,4
9,5
10,5
11,4
12,5
13,5
14,6
15,7
16,5
17,4
18,7
19,5
20,4
21,5
22,5
23,4
24,4
25,5
26,5
27,5
28,3
29,4
30,5
31,5
32,6
33,3
34,6
35,3
36,5
37,4
38,4
39,4
40,4
41,4
42,5
43,5
44,7
45,5
46,4
47,6
48,4
49,7
50,4
51,6
52,5
53,5
54,5
55,5
56,2
57,5
58,5
59,4
60,3
61,5
62,4
63,5
64,4
65,11
66,6
67,4
68,7
69,4
70,5
71,5
72,4
73,5
74,7
75,6
76,7
77,6
78,3
79,4
80,4
81,7
82,4
83,4
84,5
85,4
86,5
87,4
88,5
89,5
90,4
91,4
92,5
93,9
94,7
95,5
96,4
97,6
98,6
99,5
100,6
101,7
102,3
103,5
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,6
112,4
113,4
114,7
115,5
116,4
117,5
118,5
119,4
120,4
121,5
122,6
123,6
124,4
125,5
126,5
127,5
128,5
129,4
130,3
131,5
132,4
133,5
134,3
135,3
136,6
137,6
138,4
139,3
140,3
141,6
142,7
143,6
144,5
145,7
146,2
147,3
148,6
149,4
150,5
151,5
152,7
153,4
154,3
155,4
156,5
157,5
158,4
159,6
160,6
161,4
162,5
163,5
164,3
165,7
166,4
167,7
168,6
169,7
170,7
171,5
172,4
173,3
174,6
175,5
176,6
177,5
178,5
179,4
180,4
181,4
182,4
183,4
184,5
185,5
186,4
187,5
188,6
189,3
190,5
191,5
192,5
193,5
194,4
195,5
196,4
197,5
198,3
199,6
200,4
201,6
202,5
203,5
204,4
205,2
206,5
207,7
208,4
209,6
210,6
211,5
212,7
213,8
214,3
215,6
216,5
217,4
218,4
219,4
220,4
221,5
222,4
223,5
224,3
225,9
226,4
227,5
228,5
229,4
230,5
231,4
232,6
233,3
234,4
235,5
236,6
237,6
238,5
239,4
240,2
241,7
242,4
243,4
244,4
245,4
246,7
247,6
248,7
249,4
250,4
251,5
252,5
253,7
254,5
255,5
256,7
257,4
258,4
259,5
260,5
261,5
262,5
263,8
264,3
265,6
266,4
267,4
268,7
269,4
270,4
271,6
272,4
273,7
274,4
275,4
276,3
277,5
278,4
279,4
280,4
281,4
282,5
283,4
284,4
285,7
286,4
287,4
288,6
289,4
290,3
291,4
292,5
293,4
294,5
295,5
296,4
297,4
298,4
299,4
300,6
301,6
302,6
303,4
304,5
305,4
306,3
307,4
308,4
309,6
310,7
311,4
312,6
313,6
314,6
315,4
316,7
317,6
318,5
319,4
320,6
321,8
322,4
323,5
324,8
325,6
326,7
327,6
328,5
329,4
330,7
331,7
332,3
333,3
334,5
335,4
336,4
337,7
338,4
339,4
340,3
341,5
342,5
343,4
344,4
345,5
346,5
347,7
348,8
349,5
350,5
351,4
352,5
353,6
354,4
355,4
356,6
357,4
358,3
359,4
360,5
361,5
362,5
363,4
364,3
365,4
366,4
367,5
368,4
369,5
370,5
371,5
372,5
373,4
374,5
375,5
376,5
377,4
378,5
379,8
380,5
381,5
382,4
383,7
