,0
0,5
1,3
2,4
3,4
4,4
5,5
6,5
7,6
8,5
9,5
10,4
11,4
12,4
13,4
14,5
15,5
16,3
17,6
18,8
19,5
20,6
21,6
22,4
23,5
24,4
25,4
26,6
27,7
28,6
29,6
30,5
31,5
32,6
33,6
34,7
35,6
36,6
37,5
38,7
39,6
40,5
41,4
42,6
43,6
44,5
45,6
46,6
47,7
48,6
49,6
50,5
51,5
52,6
53,5
54,3
55,7
56,5
57,5
58,6
59,7
60,5
61,4
62,7
63,6
64,7
65,6
66,5
67,7
68,5
69,6
70,6
71,7
72,5
73,6
74,6
75,4
76,4
77,5
78,8
79,8
80,7
81,8
82,6
83,6
84,6
85,6
86,5
87,6
88,5
89,5
90,8
91,5
92,6
93,6
94,6
95,6
96,4
97,4
98,7
99,6
100,7
101,6
102,4
103,5
104,5
105,4
106,4
107,5
108,5
109,6
110,7
111,5
112,5
113,4
114,6
115,5
116,6
117,5
118,6
119,7
120,3
121,5
122,6
123,6
124,6
125,5
126,4
127,5
128,6
129,5
130,5
131,7
132,6
133,5
134,8
135,7
136,6
137,6
138,6
139,7
140,8
141,4
142,4
143,4
144,5
145,4
146,6
147,6
148,6
149,5
150,5
151,6
152,5
153,6
154,8
155,4
156,5
157,6
158,6
159,6
160,4
161,6
162,5
163,7
164,4
165,4
166,8
167,6
168,6
169,5
170,6
171,6
172,6
173,4
174,8
175,3
176,8
177,4
178,5
179,5
180,4
181,5
182,6
183,5
184,6
185,6
186,5
187,7
188,6
189,6
190,4
191,7
192,4
193,4
194,3
195,4
196,7
197,9
198,9
199,4
200,7
201,5
202,5
203,5
204,5
205,5
206,5
207,6
208,7
209,5
210,6
211,5
212,5
213,5
214,10
215,5
216,8
217,6
218,6
219,5
220,6
221,5
222,5
223,5
224,4
225,4
226,6
227,5
228,6
229,5
230,6
231,4
232,5
233,5
234,6
235,6
236,7
237,6
238,4
239,4
240,6
241,4
242,4
243,5
244,6
245,5
246,8
247,3
248,5
249,5
250,3
251,4
252,4
253,6
254,5
255,6
256,7
257,4
258,5
259,5
260,5
261,6
262,3
263,6
264,5
265,5
266,4
267,5
268,6
269,5
270,6
271,5
272,6
273,7
274,5
275,7
276,4
277,7
278,6
279,4
280,5
281,4
282,5
283,6
284,5
285,5
286,5
287,5
288,6
289,5
290,7
291,5
292,6
293,8
294,6
295,8
296,6
297,7
298,7
299,5
300,3
301,3
302,5
303,6
304,5
305,6
306,7
307,6
308,4
309,6
310,4
311,4
312,7
313,6
314,6
315,6
316,5
317,8
318,7
319,5
320,7
321,6
322,4
323,6
324,5
325,6
326,8
327,6
328,5
329,4
330,7
331,4
332,4
333,5
334,6
335,6
336,7
337,4
338,5
339,3
340,7
341,6
342,6
343,5
344,4
345,6
346,7
347,7
348,7
349,6
350,3
351,6
352,6
353,5
354,6
355,4
356,6
357,5
358,6
359,6
360,5
361,7
362,4
363,6
364,6
365,6
366,6
367,7
368,4
369,5
370,5
371,4
372,5
373,6
374,4
