,0
0,6
1,3
2,8
3,6
4,5
5,6
6,3
7,6
8,7
9,5
10,6
11,6
12,7
13,4
14,5
15,6
16,7
17,7
18,9
19,7
20,5
21,9
22,7
23,6
24,6
25,7
26,5
27,5
28,6
29,5
30,5
31,6
32,6
33,7
34,6
35,4
36,7
37,4
38,6
39,6
40,6
41,8
42,4
43,9
44,8
45,6
46,6
47,7
48,6
49,7
50,5
51,6
52,8
53,8
54,4
55,5
56,6
57,8
58,8
59,6
60,4
61,6
62,3
63,4
64,8
65,10
66,7
67,6
68,6
69,5
70,6
71,6
72,7
73,8
74,6
75,6
76,7
77,5
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,8
88,4
89,8
90,4
91,8
92,7
93,11
94,7
95,6
96,2
97,7
98,7
99,4
100,10
101,7
102,6
103,8
104,6
105,7
106,6
107,7
108,7
109,6
110,5
111,8
112,5
113,6
114,8
115,7
116,6
117,7
118,7
119,5
120,5
121,7
122,5
123,6
124,6
125,7
126,8
127,6
128,7
129,5
130,5
131,7
132,4
133,6
134,5
135,7
136,6
137,5
138,4
139,6
140,4
141,6
142,9
143,7
144,6
145,6
146,8
147,5
148,7
149,7
150,8
151,6
152,12
153,6
154,7
155,4
156,6
157,5
158,7
159,7
160,7
161,6
162,6
163,7
164,6
165,7
166,6
167,5
168,5
169,7
170,8
171,4
172,8
173,7
174,7
175,6
176,6
177,4
178,6
179,6
180,5
181,4
182,6
183,6
184,7
185,9
186,10
187,6
188,6
189,8
190,5
191,5
192,6
193,5
194,5
195,6
196,5
197,7
198,4
199,4
200,6
201,7
202,6
203,5
204,7
205,6
206,5
207,4
208,5
209,6
210,5
211,5
212,8
213,8
214,5
215,8
216,7
217,5
218,5
219,6
220,6
221,5
222,7
223,6
224,7
225,4
226,7
227,3
228,6
229,7
230,5
231,7
232,8
233,6
234,6
235,3
236,7
237,6
238,4
239,4
240,5
241,7
242,6
243,8
244,2
245,7
246,7
247,5
248,6
249,6
250,6
251,8
252,5
253,8
254,5
255,7
256,8
257,4
258,7
259,5
260,5
261,6
262,8
263,11
264,6
265,7
266,9
267,6
268,9
269,7
270,6
271,7
272,4
273,10
274,5
275,8
276,4
277,6
278,6
279,5
280,6
281,6
282,7
283,6
284,7
285,5
286,6
287,5
288,6
289,4
290,4
291,6
292,6
293,6
294,6
295,6
296,6
297,6
298,8
299,5
300,6
301,5
302,7
303,9
304,8
305,7
306,7
307,7
308,5
309,6
310,5
311,5
312,6
313,7
314,9
315,7
316,9
317,6
318,6
319,4
320,6
321,7
322,7
323,6
324,12
325,7
326,10
327,6
328,7
329,5
330,6
331,7
332,5
333,6
334,6
335,8
336,7
337,7
338,4
339,5
340,7
341,5
342,5
343,6
344,7
345,6
346,4
347,8
348,9
349,5
350,10
351,5
352,5
353,4
354,7
355,8
356,6
357,5
358,9
359,4
360,7
361,6
362,3
363,6
364,5
365,7
366,6
367,7
368,5
369,7
370,6
371,4
372,5
373,5
374,6
375,7
376,7
377,6
378,5
379,10
380,6
381,4
382,4
383,6
